question_code,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
S15,86,86,84,86,86,86,86,85,85,86,84,85,84,85,85,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,86,84,84,85,85,85,83,84,84,84,84,83,83,84,84,84
V01,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,84,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,83,85,84,85,82,84,85,84,85,85,85,83,84,84,84,84,84,83,84,84,84
V02,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,84,82,85,85,85,83,84,84,85,85,85,85,83,84,84,84,84,83,83,84,84,84
V03,86,86,84,86,86,86,86,85,85,86,84,85,84,85,85,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
V04,86,86,84,86,86,86,86,85,85,86,84,85,84,85,85,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
V05,86,86,84,86,86,86,86,85,85,86,84,85,84,85,85,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
V06,84,84,82,84,84,84,84,83,83,84,82,83,82,83,83,84,84,84,84,82,83,84,82,83,84,84,84,82,84,84,83,84,84,84,84,84,83,83,82,82,84,83,84,81,83,83,83,84,84,84,84,84,84,84,84,83,83,84,84,84
V07,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V08,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V09,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V10,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V11,84,84,82,84,84,84,84,83,83,84,82,83,82,83,83,84,84,84,84,82,83,84,83,83,84,84,84,82,84,84,83,84,84,84,84,84,83,83,82,82,84,83,84,81,83,84,83,84,84,84,83,84,84,84,84,84,83,84,84,84
V12,84,84,82,84,84,84,84,83,83,84,82,83,82,83,83,84,84,84,84,83,83,84,82,83,84,84,84,82,84,84,83,84,84,84,84,84,83,83,82,81,84,83,84,81,83,83,83,84,84,84,83,84,84,84,84,83,84,84,84,84
V13,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V14,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
V15,85,85,83,85,85,85,85,84,84,85,83,84,83,84,84,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,84,84,85,85,85,84,85,85,85,85,84,84,85,85,85
